event_type,current_char,timestamp,current_word,current_word_time,current_sentence,current_sentence_time,complete_text,current_complete_time,sentence_num,technique_used,autocompletion,participant_id
key pressed,S,1559750573.6685839,S,0.0,S,0.0,S,0.0,1,none,False,4
key pressed,y,1559750574.036727,Sy,0.36814308166503906,Sy,0.36814308166503906,Sy,0.36814308166503906,1,none,False,4
key pressed,l,1559750574.300446,Syl,0.6318621635437012,Syl,0.6318621635437012,Syl,0.6318621635437012,1,none,False,4
key pressed,v,1559750574.5655391,Sylv,0.8969552516937256,Sylv,0.8969552516937256,Sylv,0.8969552516937256,1,none,False,4
key pressed,i,1559750574.773299,Sylvi,1.10471510887146,Sylvi,1.10471510887146,Sylvi,1.10471510887146,1,none,False,4
key pressed,a,1559750574.957449,Sylvia,1.288865089416504,Sylvia,1.288865089416504,Sylvia,1.288865089416504,1,none,False,4
key pressed,SPACE,1559750575.237495,Sylvia,1.568911075592041,Sylvia ,1.568911075592041,Sylvia ,1.568911075592041,1,none,False,4
word typed,SPACE,1559750575.237495,Sylvia,1.568911075592041,Sylvia ,1.568911075592041,Sylvia ,1.568911075592041,1,False,False,4
key pressed,w,1559750575.589548,w,0.0,Sylvia w,1.920964241027832,Sylvia w,1.920964241027832,1,none,False,4
key pressed,a,1559750575.741442,wa,0.15189385414123535,Sylvia wa,2.0728580951690674,Sylvia wa,2.0728580951690674,1,none,False,4
key pressed,g,1559750576.021666,wag,0.43211793899536133,Sylvia wag,2.3530821800231934,Sylvia wag,2.3530821800231934,1,none,False,4
key pressed,t,1559750576.349662,wagt,0.7601139545440674,Sylvia wagt,2.6810781955718994,Sylvia wagt,2.6810781955718994,1,none,False,4
key pressed,SPACE,1559750576.6294038,wagt,1.039855718612671,Sylvia wagt ,2.960819959640503,Sylvia wagt ,2.960819959640503,1,none,False,4
word typed,SPACE,1559750576.6294038,wagt,1.039855718612671,Sylvia wagt ,2.960819959640503,Sylvia wagt ,2.960819959640503,1,False,False,4
key pressed,q,1559750577.0456052,q,0.0,Sylvia wagt q,3.377021312713623,Sylvia wagt q,3.377021312713623,1,none,False,4
key pressed,u,1559750577.357614,qu,0.3120088577270508,Sylvia wagt qu,3.689030170440674,Sylvia wagt qu,3.689030170440674,1,none,False,4
key pressed,i,1559750577.549577,qui,0.5039718151092529,Sylvia wagt qui,3.880993127822876,Sylvia wagt qui,3.880993127822876,1,none,False,4
key pressed,c,1559750577.749493,quic,0.7038877010345459,Sylvia wagt quic,4.080909013748169,Sylvia wagt quic,4.080909013748169,1,none,False,4
key pressed,k,1559750579.405662,quick,2.3600568771362305,Sylvia wagt quick,5.7370781898498535,Sylvia wagt quick,5.7370781898498535,1,none,False,4
key pressed,SPACE,1559750579.5495338,quick,2.5039286613464355,Sylvia wagt quick ,5.880949974060059,Sylvia wagt quick ,5.880949974060059,1,none,False,4
word typed,SPACE,1559750579.5495338,quick,2.5039286613464355,Sylvia wagt quick ,5.880949974060059,Sylvia wagt quick ,5.880949974060059,1,False,False,4
key pressed,d,1559750579.8537338,d,0.0,Sylvia wagt quick d,6.185149908065796,Sylvia wagt quick d,6.185149908065796,1,none,False,4
key pressed,e,1559750580.013707,de,0.15997314453125,Sylvia wagt quick de,6.345123052597046,Sylvia wagt quick de,6.345123052597046,1,none,False,4
key pressed,n,1559750580.2056031,den,0.3518693447113037,Sylvia wagt quick den,6.5370192527771,Sylvia wagt quick den,6.5370192527771,1,none,False,4
key pressed,SPACE,1559750580.3256671,den,0.47193336486816406,Sylvia wagt quick den ,6.65708327293396,Sylvia wagt quick den ,6.65708327293396,1,none,False,4
word typed,SPACE,1559750580.3256671,den,0.47193336486816406,Sylvia wagt quick den ,6.65708327293396,Sylvia wagt quick den ,6.65708327293396,1,False,False,4
key pressed,J,1559750580.6698859,J,0.0,Sylvia wagt quick den J,7.001302003860474,Sylvia wagt quick den J,7.001302003860474,1,none,False,4
key pressed,u,1559750580.901796,Ju,0.23191022872924805,Sylvia wagt quick den Ju,7.233212232589722,Sylvia wagt quick den Ju,7.233212232589722,1,none,False,4
key pressed,x,1559750581.0856042,Jux,0.41571831703186035,Sylvia wagt quick den Jux,7.417020320892334,Sylvia wagt quick den Jux,7.417020320892334,1,none,False,4
key pressed,SPACE,1559750581.2216582,Jux,0.5517723560333252,Sylvia wagt quick den Jux ,7.553074359893799,Sylvia wagt quick den Jux ,7.553074359893799,1,none,False,4
word typed,SPACE,1559750581.2216582,Jux,0.5517723560333252,Sylvia wagt quick den Jux ,7.553074359893799,Sylvia wagt quick den Jux ,7.553074359893799,1,False,False,4
key pressed,b,1559750581.509608,b,0.0,Sylvia wagt quick den Jux b,7.841024160385132,Sylvia wagt quick den Jux b,7.841024160385132,1,none,False,4
key pressed,e,1559750581.6456409,be,0.1360328197479248,Sylvia wagt quick den Jux be,7.977056980133057,Sylvia wagt quick den Jux be,7.977056980133057,1,none,False,4
key pressed,i,1559750581.775778,bei,0.26617002487182617,Sylvia wagt quick den Jux bei,8.107194185256958,Sylvia wagt quick den Jux bei,8.107194185256958,1,none,False,4
key pressed,SPACE,1559750581.8935459,bei,0.3839378356933594,Sylvia wagt quick den Jux bei ,8.224961996078491,Sylvia wagt quick den Jux bei ,8.224961996078491,1,none,False,4
