event_type,current_char,timestamp,current_word,current_word_time,current_sentence,current_sentence_time,complete_text,current_complete_time,sentence_num,technique_used,participant_id
key pressed,"c",1559749643.84271,"durc",0.7770371437072754,"Franz jagt im komplett verwahrlosten Taxi quer durc",20.895184993743896,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durc",116.94778299331665,5,none,2
key pressed,"h",1559749643.973432,"durch",0.9077591896057129,"Franz jagt im komplett verwahrlosten Taxi quer durch",21.025907039642334,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch",117.07850503921509,5,none,2
key pressed,"SPACE",1559749644.1745799,"durch",1.1089069843292236,"Franz jagt im komplett verwahrlosten Taxi quer durch ",21.227054834365845,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch ",117.2796528339386,5,none,2
word typed,"SPACE",1559749644.1745799,"durch",1.1089069843292236,"Franz jagt im komplett verwahrlosten Taxi quer durch ",21.227054834365845,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch ",117.2796528339386,5,False,2
key pressed,"B",1559749644.656876,"B",0.0,"Franz jagt im komplett verwahrlosten Taxi quer durch B",21.709351062774658,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch B",117.76194906234741,5,none,2
key pressed,"a",1559749644.839487,"Ba",0.18261098861694336,"Franz jagt im komplett verwahrlosten Taxi quer durch Ba",21.8919620513916,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch Ba",117.94456005096436,5,none,2
key pressed,"y",1559749645.156599,"Bay",0.499722957611084,"Franz jagt im komplett verwahrlosten Taxi quer durch Bay",22.209074020385742,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch Bay",118.2616720199585,5,none,2
key pressed,"e",1559749645.418491,"Baye",0.7616147994995117,"Franz jagt im komplett verwahrlosten Taxi quer durch Baye",22.47096586227417,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch Baye",118.52356386184692,5,none,2
key pressed,"r",1559749645.538435,"Bayer",0.881558895111084,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayer",22.590909957885742,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch Bayer",118.6435079574585,5,none,2
key pressed,"n",1559749645.714592,"Bayern",1.057715892791748,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern",22.767066955566406,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch Bayern",118.81966495513916,5,none,2
key pressed,".",1559749646.859379,"Bayern.",2.202502965927124,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.",23.911854028701782,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.",119.96445202827454,5,none,2
key pressed,"ENTER",1559749647.236535,"Bayern.",2.5796589851379395,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
",24.289010047912598,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
",120.34160804748535,5,none,2
word typed,"ENTER",1559749647.236535,"Bayern.",2.5796589851379395,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
",24.289010047912598,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
",120.34160804748535,5,False,2
sentence typed,"ENTER",1559749647.236535,"Bayern.",2.5796589851379395,"Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
",24.289010047912598,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
",120.34160804748535,5,none,2
test finished,"",1559749647.236535,"",2.5796589851379395,"",24.289010047912598,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer vertilgt bequem zwo Pfund Kalbshaxen.Stanleys Expeditionszug quer durch Afrika wird von jdermann bewundert.Prall vom Whisky flog Quax den Jet zu Bruch.Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.",120.34160804748535,,,2
