event_type,current_char,timestamp,current_word,current_word_time,current_sentence,current_sentence_time,complete_text,current_complete_time,sentence_num,technique_used,autocompletion,participant_id
word typed,SPACE,1559750228.1033359,bequem,1.0639948844909668,Jeder wackere Bayer vertiglt bequem ,7.080348968505859,Jeder wackere Bayer vertiglt bequem ,7.080348968505859,1,False,False,3
key pressed,z,1559750228.495609,z,0.0,Jeder wackere Bayer vertiglt bequem z,7.4726221561431885,Jeder wackere Bayer vertiglt bequem z,7.4726221561431885,1,none,False,3
key pressed,w,1559750228.6234188,zw,0.12780976295471191,Jeder wackere Bayer vertiglt bequem zw,7.6004319190979,Jeder wackere Bayer vertiglt bequem zw,7.6004319190979,1,none,False,3
key pressed,o,1559750228.775764,zwo,0.2801549434661865,Jeder wackere Bayer vertiglt bequem zwo,7.752777099609375,Jeder wackere Bayer vertiglt bequem zwo,7.752777099609375,1,none,False,3
key pressed,SPACE,1559750228.935266,zwo,0.43965697288513184,Jeder wackere Bayer vertiglt bequem zwo ,7.91227912902832,Jeder wackere Bayer vertiglt bequem zwo ,7.91227912902832,1,none,False,3
word typed,SPACE,1559750228.935266,zwo,0.43965697288513184,Jeder wackere Bayer vertiglt bequem zwo ,7.91227912902832,Jeder wackere Bayer vertiglt bequem zwo ,7.91227912902832,1,False,False,3
key pressed,P,1559750229.1433191,P,0.0,Jeder wackere Bayer vertiglt bequem zwo P,8.12033224105835,Jeder wackere Bayer vertiglt bequem zwo P,8.12033224105835,1,none,False,3
key pressed,f,1559750229.350877,Pf,0.20755791664123535,Jeder wackere Bayer vertiglt bequem zwo Pf,8.327890157699585,Jeder wackere Bayer vertiglt bequem zwo Pf,8.327890157699585,1,none,False,3
key pressed,u,1559750229.511012,Pfu,0.3676929473876953,Jeder wackere Bayer vertiglt bequem zwo Pfu,8.488025188446045,Jeder wackere Bayer vertiglt bequem zwo Pfu,8.488025188446045,1,none,False,3
key pressed,n,1559750229.719475,Pfun,0.5761559009552002,Jeder wackere Bayer vertiglt bequem zwo Pfun,8.69648814201355,Jeder wackere Bayer vertiglt bequem zwo Pfun,8.69648814201355,1,none,False,3
key pressed,d,1559750229.9276118,Pfund,0.7842926979064941,Jeder wackere Bayer vertiglt bequem zwo Pfund,8.904624938964844,Jeder wackere Bayer vertiglt bequem zwo Pfund,8.904624938964844,1,none,False,3
key pressed,SPACE,1559750230.103404,Pfund,0.9600849151611328,Jeder wackere Bayer vertiglt bequem zwo Pfund ,9.080417156219482,Jeder wackere Bayer vertiglt bequem zwo Pfund ,9.080417156219482,1,none,False,3
word typed,SPACE,1559750230.103404,Pfund,0.9600849151611328,Jeder wackere Bayer vertiglt bequem zwo Pfund ,9.080417156219482,Jeder wackere Bayer vertiglt bequem zwo Pfund ,9.080417156219482,1,False,False,3
key pressed,K,1559750230.447534,K,0.0,Jeder wackere Bayer vertiglt bequem zwo Pfund K,9.42454719543457,Jeder wackere Bayer vertiglt bequem zwo Pfund K,9.42454719543457,1,none,False,3
key pressed,a,1559750230.607536,Ka,0.1600019931793213,Jeder wackere Bayer vertiglt bequem zwo Pfund Ka,9.584549188613892,Jeder wackere Bayer vertiglt bequem zwo Pfund Ka,9.584549188613892,1,none,False,3
key pressed,l,1559750230.727562,Kal,0.2800278663635254,Jeder wackere Bayer vertiglt bequem zwo Pfund Kal,9.704575061798096,Jeder wackere Bayer vertiglt bequem zwo Pfund Kal,9.704575061798096,1,none,False,3
key pressed,b,1559750230.9756732,Kalb,0.5281391143798828,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalb,9.952686309814453,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalb,9.952686309814453,1,none,False,3
key pressed,s,1559750231.1115992,Kalbs,0.6640651226043701,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbs,10.08861231803894,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbs,10.08861231803894,1,none,False,3
key pressed,h,1559750231.215476,Kalbsh,0.767941951751709,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbsh,10.19248914718628,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbsh,10.19248914718628,1,none,False,3
key pressed,a,1559750231.3196318,Kalbsha,0.8720977306365967,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbsha,10.296644926071167,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbsha,10.296644926071167,1,none,False,3
key pressed,x,1559750231.535491,Kalbshax,1.0879569053649902,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshax,10.51250410079956,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshax,10.51250410079956,1,none,False,3
