event_type,current_char,timestamp,current_word,current_word_time,current_sentence,current_sentence_time,complete_text,current_complete_time,sentence_num,technique_used,participant_id
key pressed,"P",1559749374.8626869,"P",0.0,"P",0.0,"P",0.0,1,none,1
key pressed,"r",1559749375.1347232,"Pr",0.2720363140106201,"Pr",0.2720363140106201,"Pr",0.2720363140106201,1,none,1
key pressed,"a",1559749375.435816,"Pra",0.5731291770935059,"Pra",0.5731291770935059,"Pra",0.5731291770935059,1,none,1
key pressed,"l",1559749375.887102,"Pral",1.0244150161743164,"Pral",1.0244150161743164,"Pral",1.0244150161743164,1,none,1
key pressed,"l",1559749376.079882,"Prall",1.2171950340270996,"Prall",1.2171950340270996,"Prall",1.2171950340270996,1,none,1
key pressed,"SPACE",1559749376.284509,"Prall",1.4218220710754395,"Prall ",1.4218220710754395,"Prall ",1.4218220710754395,1,none,1
word typed,"SPACE",1559749376.284509,"Prall",1.4218220710754395,"Prall ",1.4218220710754395,"Prall ",1.4218220710754395,1,False,1
key pressed,"v",1559749376.7248929,"v",0.0,"Prall v",1.862205982208252,"Prall v",1.862205982208252,1,none,1
key pressed,"o",1559749376.884622,"vo",0.1597292423248291,"Prall vo",2.021935224533081,"Prall vo",2.021935224533081,1,none,1
key pressed,"m",1559749377.045722,"vom",0.3208291530609131,"Prall vom",2.183035135269165,"Prall vom",2.183035135269165,1,none,1
key pressed,"SPACE",1559749377.202626,"vom",0.47773313522338867,"Prall vom ",2.3399391174316406,"Prall vom ",2.3399391174316406,1,none,1
word typed,"SPACE",1559749377.202626,"vom",0.47773313522338867,"Prall vom ",2.3399391174316406,"Prall vom ",2.3399391174316406,1,False,1
key pressed,"W",1559749377.954896,"W",0.0,"Prall vom W",3.0922091007232666,"Prall vom W",3.0922091007232666,1,none,1
key pressed,"h",1559749378.199081,"Wh",0.2441849708557129,"Prall vom Wh",3.3363940715789795,"Prall vom Wh",3.3363940715789795,1,none,1
key pressed,"i",1559749378.4587798,"Whi",0.5038838386535645,"Prall vom Whi",3.596092939376831,"Prall vom Whi",3.596092939376831,1,none,1
key pressed,"s",1559749378.7818801,"Whis",0.826984167098999,"Prall vom Whis",3.9191932678222656,"Prall vom Whis",3.9191932678222656,1,none,1
key pressed,"k",1559749379.446858,"Whisk",1.49196195602417,"Prall vom Whisk",4.5841710567474365,"Prall vom Whisk",4.5841710567474365,1,none,1
key pressed,"y",1559749379.881817,"Whisky",1.9269211292266846,"Prall vom Whisky",5.019130229949951,"Prall vom Whisky",5.019130229949951,1,none,1
key pressed,"SPACE",1559749380.070805,"Whisky",2.1159090995788574,"Prall vom Whisky ",5.208118200302124,"Prall vom Whisky ",5.208118200302124,1,none,1
word typed,"SPACE",1559749380.070805,"Whisky",2.1159090995788574,"Prall vom Whisky ",5.208118200302124,"Prall vom Whisky ",5.208118200302124,1,False,1
key pressed,"f",1559749380.883028,"f",0.0,"Prall vom Whisky f",6.020341157913208,"Prall vom Whisky f",6.020341157913208,1,none,1
key pressed,"l",1559749381.2290208,"fl",0.3459928035736084,"Prall vom Whisky fl",6.366333961486816,"Prall vom Whisky fl",6.366333961486816,1,none,1
key pressed,"o",1559749381.4217432,"flo",0.538715124130249,"Prall vom Whisky flo",6.559056282043457,"Prall vom Whisky flo",6.559056282043457,1,none,1
key pressed,"g",1559749381.889029,"flog",1.0060009956359863,"Prall vom Whisky flog",7.026342153549194,"Prall vom Whisky flog",7.026342153549194,1,none,1
key pressed,"SPACE",1559749382.0197499,"flog",1.1367218494415283,"Prall vom Whisky flog ",7.157063007354736,"Prall vom Whisky flog ",7.157063007354736,1,none,1
word typed,"SPACE",1559749382.0197499,"flog",1.1367218494415283,"Prall vom Whisky flog ",7.157063007354736,"Prall vom Whisky flog ",7.157063007354736,1,False,1
key pressed,"Q",1559749382.801693,"Q",0.0,"Prall vom Whisky flog Q",7.939006090164185,"Prall vom Whisky flog Q",7.939006090164185,1,none,1
key pressed,"u",1559749383.1238248,"Qu",0.322131872177124,"Prall vom Whisky flog Qu",8.261137962341309,"Prall vom Whisky flog Qu",8.261137962341309,1,none,1
key pressed,"a",1559749383.74899,"Qua",0.9472970962524414,"Prall vom Whisky flog Qua",8.886303186416626,"Prall vom Whisky flog Qua",8.886303186416626,1,none,1
key pressed,"x",1559749384.923594,"Quax",2.121901035308838,"Prall vom Whisky flog Quax",10.060907125473022,"Prall vom Whisky flog Quax",10.060907125473022,1,none,1
key pressed,"SPACE",1559749385.0966241,"Quax",2.294931173324585,"Prall vom Whisky flog Quax ",10.23393726348877,"Prall vom Whisky flog Quax ",10.23393726348877,1,none,1
word typed,"SPACE",1559749385.0966241,"Quax",2.294931173324585,"Prall vom Whisky flog Quax ",10.23393726348877,"Prall vom Whisky flog Quax ",10.23393726348877,1,False,1
key pressed,"d",1559749385.850574,"d",0.0,"Prall vom Whisky flog Quax d",10.987887144088745,"Prall vom Whisky flog Quax d",10.987887144088745,1,none,1
key pressed,"e",1559749386.035352,"de",0.18477797508239746,"Prall vom Whisky flog Quax de",11.172665119171143,"Prall vom Whisky flog Quax de",11.172665119171143,1,none,1
key pressed,"n",1559749386.214495,"den",0.3639209270477295,"Prall vom Whisky flog Quax den",11.351808071136475,"Prall vom Whisky flog Quax den",11.351808071136475,1,none,1
key pressed,"SPACE",1559749386.424343,"den",0.5737690925598145,"Prall vom Whisky flog Quax den ",11.56165623664856,"Prall vom Whisky flog Quax den ",11.56165623664856,1,none,1
word typed,"SPACE",1559749386.424343,"den",0.5737690925598145,"Prall vom Whisky flog Quax den ",11.56165623664856,"Prall vom Whisky flog Quax den ",11.56165623664856,1,False,1
key pressed,"J",1559749386.7935722,"J",0.0,"Prall vom Whisky flog Quax den J",11.930885314941406,"Prall vom Whisky flog Quax den J",11.930885314941406,1,none,1
key pressed,"e",1559749386.989341,"Je",0.1957688331604004,"Prall vom Whisky flog Quax den Je",12.126654148101807,"Prall vom Whisky flog Quax den Je",12.126654148101807,1,none,1
key pressed,"t",1559749387.3015969,"Jet",0.5080246925354004,"Prall vom Whisky flog Quax den Jet",12.438910007476807,"Prall vom Whisky flog Quax den Jet",12.438910007476807,1,none,1
