participant_id,stimulus,mental_complexity,distraction,pressed_key,correct_key_pressed,reaction_time,timestamp
4,AN,A,False,D,True,1.0000429153442383,1557828224.624
4,AN,A,False,K,True,0.7595219612121582,1557828226.386185
4,AD,A,True,D,True,0.7841401100158691,1557828228.175025
4,AD,A,True,D,True,0.9907619953155518,1557828230.169814
4,AN,A,False,K,True,0.8104619979858398,1557828231.984951
4,PN,P,False,D,True,0.6164138317108154,1557828233.608911
4,PD,P,True,K,True,0.7214970588684082,1557828235.3359308
4,PD,P,True,D,True,0.7112607955932617,1557828237.051152
4,AN,A,False,D,True,0.5827350616455078,1557828238.637745
4,PD,P,True,D,True,0.5416548252105713,1557828240.18272
4,PD,P,True,K,True,0.8139889240264893,1557828242.000622
4,PN,P,False,D,True,0.583503007888794,1557828243.587908
4,AD,A,True,D,True,0.7578120231628418,1557828245.349477
4,AN,A,False,K,True,0.7120368480682373,1557828247.065237
4,AN,A,False,D,True,0.4595668315887451,1557828248.529294
4,AN,A,False,K,True,0.5820028781890869,1557828250.115055
4,AD,A,True,K,True,1.0232758522033691,1557828252.1418781
4,AD,A,True,K,True,1.6955528259277344,1557828254.840859
4,PD,P,True,D,True,0.5795872211456299,1557828256.425743
4,PN,P,False,K,True,0.5603318214416504,1557828257.9898932
4,PD,P,True,D,True,0.4018819332122803,1557828259.395612
4,PN,P,False,K,True,0.42739319801330566,1557828260.827532
4,PD,P,True,K,True,2.5223071575164795,1557828264.3531148
4,AD,A,True,D,True,0.565619945526123,1557828265.925127
4,PN,P,False,K,True,0.5582602024078369,1557828267.487038
4,PN,P,False,D,True,0.5266280174255371,1557828269.0170398
4,PN,P,False,D,True,1.8043677806854248,1557828271.8249102
4,PN,P,False,K,True,0.49120473861694336,1557828273.319616
4,AN,A,False,D,True,0.6000797748565674,1557828274.923072
4,AD,A,True,K,True,0.5401501655578613,1557828276.466114
4,PN,P,False,K,True,0.5349092483520508,1557828278.005652
4,PD,P,True,D,True,0.48126673698425293,1557828279.4899762
4,AN,A,False,K,True,0.6959092617034912,1557828281.189447
4,AD,A,True,D,True,0.42885303497314453,1557828282.621871
4,AN,A,False,K,True,0.6201620101928711,1557828284.2457001
4,PN,P,False,K,True,0.4853518009185791,1557828285.7356591
4,AD,A,True,D,True,0.532459020614624,1557828287.271677
4,PD,P,True,D,True,0.49910807609558105,1557828288.774762
4,PD,P,True,D,True,0.6512019634246826,1557828290.429811
4,AD,A,True,D,True,0.5675301551818848,1557828292.000659
