participant_id;stimulus;mental_complexity;distraction;pressed_key;correct_key_pressed;reaction_time;timestamp
3;AD;A_Ungerade7;True;U;True;1,638669014;1557846525
3;PD;P_Blau;True;U;True;3,092670918;1557846529
3;PD;P_Blau;True;U;True;1,356614113;1557846531
3;AD;A_Ungerade1;True;U;True;1,774001122;1557846534
3;AN;A_Gerade;False;R;True;1,271232128;1557846536
3;AN;A_Ungerade3;False;U;True;1,460543871;1557846539
3;AN;A_Gerade4;False;R;True;0,939002037;1557846541
3;AN;A_Gerade6;False;R;True;0,927968025;1557846543
3;PD;P_Blau;True;U;True;2,299232006;1557846546
3;PD;P_Rot;True;R;True;1,035093069;1557846548
3;PN;P_Blau;False;U;True;2,240211964;1557846551
3;AD;A_Gerade6;True;R;True;2,721542835;1557846555
4;AD;A_Gerade2;True;R;True;1,549797058;1557846589
4;PN;P_Blau;False;U;True;0,874437809;1557846591
4;PN;P_Rot;False;R;True;0,623120785;1557846593
4;PD;P_Blau;True;U;True;0,656990767;1557846595
4;AN;A_Gerade2;False;U;False;0,985766888;1557846597
4;PD;P_Rot;True;R;True;0,629408836;1557846598
4;AN;A_Gerade2;False;R;True;0,885014057;1557846600
4;PN;P_Blau;False;U;True;0,673701048;1557846602
4;AD;A_Gerade6;True;R;True;1,325361967;1557846604
4;AN;A_Ungerade5;False;U;True;1,358449936;1557846606
4;AN;A_Gerade8;False;R;True;0,851998806;1557846608
4;PD;P_Blau;True;U;True;1,221592903;1557846611
4;AD;A_Gerade4;True;R;True;1,182394981;1557846613
4;AD;A_Gerade8;True;R;True;1,924189806;1557846616
4;AN;A_Gerade;False;U;False;0,897793055;1557846618
4;PN;P_Blau;False;R;False;0,797430038;1557846619
4;AD;A_Gerade2;True;R;True;0,997321129;1557846621
4;PN;P_Rot;False;R;True;0,809745789;1557846623
4;AN;A_Ungerade5;False;U;True;1,01645112;1557846625
4;PN;P_Rot;False;R;True;0,667891026;1557846627
4;PN;P_Rot;False;R;True;1,980756998;1557846630
4;PD;P_Blau;True;U;True;0,724999189;1557846632
4;PN;P_Rot;False;R;True;0,790801048;1557846633
4;AD;A_Gerade4;True;R;True;1,000028849;1557846635
4;PD;P_Rot;True;R;True;0,678569078;1557846637
4;PD;P_Rot;True;R;True;0,665851831;1557846639
4;PD;P_Rot;True;R;True;0,441889763;1557846640
4;AD;A_Gerade;True;R;True;0,684541941;1557846642
4;AN;A_Ungerade3;False;U;True;0,495732784;1557846643
4;PD;P_Rot;True;R;True;0,894959688;1557846645
4;AN;A_Gerade4;False;U;False;0,695556879;1557846647
4;PD;P_Blau;True;U;True;0,776777983;1557846649
4;AN;A_Gerade2;False;R;True;0,900962114;1557846651
4;AD;A_Gerade2;True;R;True;0,789340258;1557846652
4;PD;P_Blau;True;U;True;0,768748999;1557846654
4;PN;P_Blau;False;U;True;0,742487192;1557846656
4;AD;A_Gerade2;True;R;True;1,383800983;1557846658
4;AD;A_Gerade;True;R;True;0,652588129;1557846660
4;AN;A_Gerade8;False;R;True;0,509169102;1557846662
4;PN;P_Rot;False;R;True;0,685719013;1557846663
