user_id,pointer_pos,errors,timestamp,task_completion_time,new_pointing_technique,distance
1,1208:602,0,1559138758.057697,1.2867751121520996,True,FAR
1,1119:659,0,1559138759.08387,1.023451805114746,False,NEAR
1,685:593,0,1559138760.511832,1.4251940250396729,False,FAR
1,680:643,0,1559138761.8818681,1.3674631118774414,True,NEAR
1,300:725,0,1559138762.9017909,1.0173258781433105,True,FAR
1,376:648,0,1559138763.956023,1.05165696144104,False,NEAR
1,726:402,0,1559138765.4240482,1.4652600288391113,False,FAR
1,806:391,0,1559138766.436043,1.0094220638275146,True,NEAR
1,653:777,0,1559138767.949593,1.5108790397644043,True,FAR
1,673:821,0,1559138768.911927,0.9596939086914062,False,NEAR
1,345:464,0,1559138770.2659461,1.3513309955596924,False,FAR
1,308:345,0,1559138771.240107,0.9715890884399414,True,NEAR
1,578:754,0,1559138772.889672,1.646894931793213,True,FAR
1,523:694,0,1559138773.973959,1.0816950798034668,False,NEAR
1,984:566,0,1559138775.4059699,1.4294216632843018,False,FAR
1,1057:594,0,1559138776.684206,1.2756659984588623,True,NEAR
1,1321:245,0,1559138777.6480708,0.9611988067626953,True,FAR
1,1390:252,0,1559138778.5140212,0.8633782863616943,False,NEAR
1,1061:82,0,1559138779.566145,1.0495460033416748,False,FAR
1,1161:116,0,1559138780.824188,1.255469799041748,True,NEAR
1,1417:503,0,1559138782.1361248,1.3092899322509766,True,FAR
1,1382:493,0,1559138783.017969,0.8792650699615479,False,NEAR
1,1222:104,0,1559138784.47821,1.457658052444458,False,FAR
1,1274:47,0,1559138785.786344,1.3055551052093506,True,NEAR
1,955:443,0,1559138786.666323,0.8773970603942871,True,FAR
1,985:393,0,1559138787.508255,0.8393259048461914,False,NEAR
1,1392:714,0,1559138788.7483242,1.237410068511963,False,FAR
1,1376:779,0,1559138790.058214,1.3073060512542725,True,NEAR
1,1186:332,0,1559138791.394355,1.3334970474243164,True,FAR
1,1108:439,0,1559138792.464352,1.067347764968872,False,NEAR
1,855:157,0,1559138793.9463181,1.479363203048706,False,FAR
1,861:54,0,1559138795.460543,1.5116510391235352,True,NEAR
1,985:535,0,1559138796.768302,1.3051109313964844,True,FAR
1,1067:568,0,1559138797.934467,1.1635911464691162,False,NEAR
1,595:505,0,1559138799.466413,1.5293760299682617,False,FAR
1,730:483,0,1559138800.714429,1.2454369068145752,True,NEAR
1,280:574,0,1559138801.704305,0.9872260093688965,True,FAR
1,319:618,0,1559138802.6564338,0.9494976997375488,False,NEAR
1,143:205,0,1559138804.200511,1.5414988994598389,False,FAR
1,146:318,0,1559138805.060498,0.8572869300842285,True,NEAR
