user_id,pointer_pos,errors,task_completion_time,new_pointing_technique,distance
2,774;69,0,1559074639.9841979,True,60
2,591;185,0,1559074641.1523352,False,150
2,806;788,3,1559074643.5780962,False,60
2,485;140,0,1559074644.860702,True,150
2,784;609,0,1559074646.6169841,True,60
2,240;700,0,1559074648.096153,False,150
2,677;835,0,1559074649.525038,False,60
2,866;546,0,1559074650.9711502,True,150
2,1027;588,0,1559074652.547443,True,60
2,1039;323,0,1559074653.7807202,False,150
2,454;439,0,1559074655.063562,False,60
2,620;323,0,1559074656.280013,True,150
2,99;310,1,1559074658.298778,True,60
2,944;332,0,1559074659.8176231,False,150
2,706;402,0,1559074660.994273,False,60
2,473;533,0,1559074662.243801,True,150
2,1228;380,0,1559074663.510079,True,60
2,357;799,0,1559074665.5933208,False,150
2,942;596,0,1559074666.720381,False,60
2,1031;645,0,1559074667.831419,True,150
2,911;824,0,1559074668.966447,True,60
2,553;692,0,1559074670.1677241,False,150
2,978;565,0,1559074671.375992,False,60
2,562;288,0,1559074672.911479,True,150
2,1218;58,0,1559074674.708294,True,60
2,156;499,0,1559074676.15483,False,150
2,120;566,0,1559074677.469752,False,60
2,373;173,0,1559074679.127159,True,150
2,351;126,0,1559074679.9280179,True,60
2,935;687,0,1559074681.585793,False,150
2,297;367,0,1559074683.047775,False,60
2,1135;467,0,1559074684.3466911,True,150
2,1335;756,0,1559074685.881865,True,60
2,492;315,0,1559074687.941215,False,150
2,553;204,0,1559074689.312664,False,60
2,464;542,0,1559074691.4039428,True,150
2,405;374,0,1559074692.474244,True,60
2,1196;712,0,1559074693.95231,False,150
2,371;528,0,1559074695.227078,False,60
2,82;572,0,1559074696.468519,True,150
